ID_Venta;Fecha;Producto;Categoria;Cantidad;Precio_Unitario;Costo_Unitario;Metodo_Pago;Ciudad_Venta;Cliente_Edad;Cliente_Genero;Descuento_Aplicado
1;01-01-2023;Laptop Ultra;Portátiles;1;1200.00;800.00;Tarjeta;Madrid;35;M;0.05
2;01-01-2023;Auriculares Bluetooth;Audio;2;75.00;40.00;Efectivo;Barcelona;28;F;0.00
3;02-01-2023;Smartphone X;Smartphones;1;850.00;600.00;Transferencia;Valencia;42;M;0.10
4;02-01-2023;Teclado Gaming;Accesorios;1;90.00;50.00;Tarjeta;Madrid;22;M;0.00
5;03-01-2023;"Monitor Curvo 27""";Monitores;1;300.00;180.00;Efectivo;Sevilla;31;F;0.05
6;03-01-2023;Cámara DSLR;Fotografía;1;700.00;450.00;Tarjeta;Barcelona;48;M;0.00
7;04-01-2023;Smartwatch Pro;Wearables;1;200.00;120.00;Transferencia;Madrid;29;F;0.00
8;04-01-2023;Disco Duro SSD 1TB;Almacenamiento;1;120.00;70.00;Efectivo;Valencia;33;M;0.05
9;05-01-2023;Impresora Multifunción;Impresoras;1;180.00;100.00;Tarjeta;Sevilla;38;F;0.00
10;05-01-2023;Altavoz Inteligente;Audio;2;60.00;30.00;Efectivo;Madrid;25;M;0.10
11;06-01-2023;Tablet A7;Tablets;1;250.00;150.00;Transferencia;Barcelona;30;F;0.00
12;06-01-2023;Webcam HD;Accesorios;3;30.00;15.00;Tarjeta;Valencia;26;M;0.00
13;07-01-2023;Mouse Ergonómico;Accesorios;1;40.00;20.00;Efectivo;Sevilla;40;F;0.05
14;07-01-2023;"TV LED 55""";Televisores;1;600.00;400.00;Tarjeta;Madrid;55;M;0.00
15;08-01-2023;Barra de Sonido;Audio;1;150.00;90.00;Transferencia;Barcelona;32;F;0.00
16;08-01-2023;Drone Mini;Drones;1;280.00;180.00;Efectivo;Valencia;24;M;0.10
17;09-01-2023;Auriculares In-ear;Audio;4;50.00;25.00;Tarjeta;Sevilla;29;F;0.00
18;09-01-2023;Ebook Reader;Lectores;1;100.00;60.00;Transferencia;Madrid;60;M;0.05
19;10-01-2023;Router Wifi 6;Redes;1;80.00;45.00;Efectivo;Barcelona;36;F;0.00
20;10-01-2023;Memoria USB 64GB;Almacenamiento;5;15.00;8.00;Tarjeta;Valencia;21;M;0.00
21;11-01-2023;Laptop Gaming;Portátiles;1;1500.00;1000.00;Tarjeta;Madrid;27;M;0.15
22;11-01-2023;Smartwatch Fit;Wearables;1;180.00;100.00;Efectivo;Barcelona;34;F;0.00
23;12-01-2023;Monitor Gaming;Monitores;1;400.00;250.00;Transferencia;Valencia;26;M;0.00
24;12-01-2023;Cámara de Seguridad;Seguridad;1;120.00;70.00;Tarjeta;Sevilla;40;F;0.05
25;13-01-2023;Auriculares Noise Cancelling;Audio;1;120.00;60.00;Efectivo;Madrid;30;M;0.00
26;13-01-2023;Power Bank;Accesorios;2;35.00;18.00;Transferencia;Barcelona;23;F;0.00
27;14-01-2023;Minicomponente;Audio;1;250.00;150.00;Tarjeta;Valencia;50;M;0.00
28;14-01-2023;Disco Externo 2TB;Almacenamiento;1;90.00;50.00;Efectivo;Sevilla;37;F;0.00
29;15-01-2023;Proyector Portátil;Proyectores;1;350.00;220.00;Tarjeta;Madrid;41;M;0.05
30;15-01-2023;Cable HDMI;Accesorios;5;10.00;5.00;Efectivo;Barcelona;20;F;0.00
1;01-01-2023;Laptop Ultra;Portátiles;1;1200.00;800.00;Tarjeta;Madrid;35;M;0.05
31;16-01-2023;Laptop Profesional;Portátiles;1;1800.00;1200.00;Transferencia;Valencia;45;M;0.10
32;16-01-2023;Altavoz Portátil JBL;Audio;1;80.00;45.00;Tarjeta;Sevilla;28;F;0.00
33;17-01-2023;Smartphone Lite;Smartphones;1;600.00;400.00;Efectivo;Madrid;33;M;0.00
34;17-01-2023;Tablet Pro;Tablets;1;400.00;250.00;Tarjeta;Barcelona;39;F;0.05
35;18-01-2023;Router Portátil;Redes;1;60.00;30.00;Transferencia;Valencia;24;M;0.00
36;18-01-2023;Smart TV 4K;Televisores;1;800.00;550.00;Efectivo;Sevilla;50;F;0.00
37;19-01-2023;Soporte Monitor;Accesorios;2;25.00;10.00;Tarjeta;Madrid;27;M;0.00
38;19-01-2023;Webcam 4K;Accesorios;1;70.00;40.00;Efectivo;Barcelona;31;F;0.00
39;20-01-2023;Auriculares Gaming;Audio;1;90.00;50.00;Transferencia;Valencia;23;M;0.05
40;20-01-2023;Docking Station;Accesorios;1;120.00;70.00;Tarjeta;Sevilla;36;F;0.00
41;21-01-2023;Consola de Videojuegos;Gaming;1;450.00;300.00;Tarjeta;Madrid;20;M;0.10
42;21-01-2023;Monitor Ultrawide;Monitores;1;500.00;300.00;Efectivo;Barcelona;38;F;0.00
43;22-01-2023;Robot Aspirador;Hogar Inteligente;1;300.00;180.00;Transferencia;Valencia;45;M;0.00
44;22-01-2023;Sistema de Sonido 5.1;Audio;1;400.00;250.00;Tarjeta;Sevilla;52;F;0.10
45;23-01-2023;Router Gaming;Redes;1;150.00;80.00;Efectivo;Madrid;29;M;0.00
46;23-01-2023;Cargador Inalámbrico;Accesorios;2;40.00;20.00;Transferencia;Barcelona;26;F;0.00
47;24-01-2023;Teclado Inalámbrico;Accesorios;1;60.00;30.00;Tarjeta;Valencia;34;M;0.00
48;24-01-2023;Altavoz Bluetooth Portátil;Audio;1;70.00;35.00;Efectivo;Sevilla;28;F;0.05
49;25-01-2023;Ebook Reader Kindle;Lectores;1;110.00;65.00;Tarjeta;Madrid;62;M;0.00
50;25-01-2023;Smartwatch Xiaomi;Wearables;1;100.00;60.00;Transferencia;Barcelona;25;F;0.00
51;26-01-2023;Laptop Premium;Portátiles;1;2000.00;1500.00;Tarjeta;Madrid;40;M;0.10
52;26-01-2023;Audífonos Deportivos;Audio;2;85.00;45.00;Efectivo;Barcelona;27;F;0.00
53;27-01-2023;Smartphone Plus;Smartphones;1;950.00;700.00;Transferencia;Valencia;38;M;0.05
54;27-01-2023;Gaming Mouse;Accesorios;1;70.00;35.00;Tarjeta;Madrid;21;M;0.00
55;28-01-2023;Monitor 4K;Monitores;1;450.00;280.00;Efectivo;Sevilla;33;F;0.00
